"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Apr 05 16:27:09 GMT 2025","Sat Apr 05 16:27:09 GMT 2025","3","AuthGuard","","","","","should throw UnauthorizedException if user not found",""
"passed","Sat Apr 05 16:27:08 GMT 2025","Sat Apr 05 16:27:08 GMT 2025","3","ItineraryController","findMySharedItineraries","","","","should return shared itineraries successfully",""
"passed","Sat Apr 05 16:27:09 GMT 2025","Sat Apr 05 16:27:09 GMT 2025","3","PreRegisterService","validateLogin","","","","should throw UnauthorizedException for invalid ticket",""
"passed","Sat Apr 05 16:27:09 GMT 2025","Sat Apr 05 16:27:09 GMT 2025","2","UmamiService","sendToDiscord","","","","should handle Discord webhook errors gracefully",""
"passed","Sat Apr 05 16:27:10 GMT 2025","Sat Apr 05 16:27:10 GMT 2025","15","PreRegisterController","","","","","should be defined",""
"passed","Sat Apr 05 16:27:07 GMT 2025","Sat Apr 05 16:27:07 GMT 2025","3","NotificationService","cancelScheduledEmail","","","","should cancel an existing scheduled email job",""
"passed","Sat Apr 05 16:27:09 GMT 2025","Sat Apr 05 16:27:09 GMT 2025","3","PreRegisterService","validateLogin","","","","should throw UnauthorizedException if ticket is expired",""
"passed","Sat Apr 05 16:27:09 GMT 2025","Sat Apr 05 16:27:09 GMT 2025","9","PreRegisterService","_generateTicket","","","","should throw BadRequestException if last ticket is still valid",""
"passed","Sat Apr 05 16:27:08 GMT 2025","Sat Apr 05 16:27:08 GMT 2025","2","AuthService","refreshToken","","","","should return new access and refresh tokens if refresh token is valid",""
"passed","Sat Apr 05 16:27:08 GMT 2025","Sat Apr 05 16:27:08 GMT 2025","2","ItineraryController","markAsComplete","","","","should throw NotFoundException if itinerary does not exist",""
"passed","Sat Apr 05 16:27:08 GMT 2025","Sat Apr 05 16:27:08 GMT 2025","2","ItineraryService","findMySharedItineraries","","","","should return empty data when user has no shared itineraries",""
"passed","Sat Apr 05 16:27:07 GMT 2025","Sat Apr 05 16:27:07 GMT 2025","3","NotificationService","findAll","","","","should return an empty array of itinerary reminders if none found",""
"passed","Sat Apr 05 16:27:07 GMT 2025","Sat Apr 05 16:27:07 GMT 2025","2","NotificationService","calculateScheduleDate","","","","should calculate scheduled date correctly",""
"passed","Sat Apr 05 16:27:08 GMT 2025","Sat Apr 05 16:27:08 GMT 2025","156","AuthService","register","","","","should throw NotFoundException if user is not found",""
"passed","Sat Apr 05 16:27:10 GMT 2025","Sat Apr 05 16:27:10 GMT 2025","9","ProfileController","","","","","should be defined",""
"passed","Sat Apr 05 16:27:10 GMT 2025","Sat Apr 05 16:27:10 GMT 2025","3","StaticService","getCountryCode","","","","should return country code response",""
"passed","Sat Apr 05 16:27:08 GMT 2025","Sat Apr 05 16:27:08 GMT 2025","3","ItineraryController","removeUserFromItinerary","","","","should throw NotFoundException if the itinerary does not exist",""
"passed","Sat Apr 05 16:27:07 GMT 2025","Sat Apr 05 16:27:07 GMT 2025","3","NotificationService","scheduleEmail","","","","should throw a ConflictException on already scheduled reminders",""
"passed","Sat Apr 05 16:27:07 GMT 2025","Sat Apr 05 16:27:07 GMT 2025","3","NotificationService","scheduleEmail","","","","should throw a BadRequestException on jobs with date in past",""
"passed","Sat Apr 05 16:27:08 GMT 2025","Sat Apr 05 16:27:08 GMT 2025","9","ItineraryController","updateItinerary","","","","should update an itinerary and return a formatted response",""
"passed","Sat Apr 05 16:27:09 GMT 2025","Sat Apr 05 16:27:09 GMT 2025","19","AuthGuard","","","","","should be defined",""
"passed","Sat Apr 05 16:27:08 GMT 2025","Sat Apr 05 16:27:08 GMT 2025","5","ItineraryController","findMyCompletedItineraries","","","","should return empty itinerary array if no completed itineraries found",""
"passed","Sat Apr 05 16:27:09 GMT 2025","Sat Apr 05 16:27:09 GMT 2025","4","PreRegisterService","login","","","","should send login email if user exists",""
"passed","Sat Apr 05 16:27:10 GMT 2025","Sat Apr 05 16:27:10 GMT 2025","3","NotificationController","updateAndReschedule","","","","should update an itinerary reminder and reschdule the cron job",""
"passed","Sat Apr 05 16:27:07 GMT 2025","Sat Apr 05 16:27:07 GMT 2025","5","NotificationService","create","","","","should throw ConflictException if itinerary reminder already exist",""
"passed","Sat Apr 05 16:27:10 GMT 2025","Sat Apr 05 16:27:10 GMT 2025","2","MapController","","","","","should handle service errors properly",""
"passed","Sat Apr 05 16:27:08 GMT 2025","Sat Apr 05 16:27:08 GMT 2025","2","ItineraryController","acceptItineraryInvitation","","","","should accept an itinerary invitation",""
"passed","Sat Apr 05 16:27:07 GMT 2025","Sat Apr 05 16:27:07 GMT 2025","63","NotificationService","","","","","should be defined",""
"passed","Sat Apr 05 16:27:08 GMT 2025","Sat Apr 05 16:27:08 GMT 2025","4","ItineraryController","acceptItineraryInvitation","","","","should throw NotFoundException if the invitation does not exist",""
"passed","Sat Apr 05 16:27:10 GMT 2025","Sat Apr 05 16:27:10 GMT 2025","3","StaticController","getCountryCode","","","","should return country code",""
"passed","Sat Apr 05 16:27:10 GMT 2025","Sat Apr 05 16:27:10 GMT 2025","3","MapController","","","","","should throw an error if placeId is not provided",""
"passed","Sat Apr 05 16:27:09 GMT 2025","Sat Apr 05 16:27:09 GMT 2025","29","PreRegisterService","_generateTicket","","","","should create a new ticket for the user",""
"passed","Sat Apr 05 16:27:08 GMT 2025","Sat Apr 05 16:27:08 GMT 2025","8","ItineraryService","removeUserFromItinerary","","","","should throw NotFoundException if the itinerary does not exist",""
"passed","Sat Apr 05 16:27:08 GMT 2025","Sat Apr 05 16:27:08 GMT 2025","3","ItineraryController","findMyItineraries","","","","should return empty data when there are no itineraries",""
"passed","Sat Apr 05 16:27:08 GMT 2025","Sat Apr 05 16:27:08 GMT 2025","2","ItineraryController","findAllTags","","","","should return an empty array if no tags are found",""
"passed","Sat Apr 05 16:27:08 GMT 2025","Sat Apr 05 16:27:08 GMT 2025","3","ItineraryService","findMyItineraries","","","","should return empty list if user has no itineraries",""
"passed","Sat Apr 05 16:27:08 GMT 2025","Sat Apr 05 16:27:08 GMT 2025","3","ItineraryController","findMyItineraries","","","","should return itineraries successfully",""
"passed","Sat Apr 05 16:27:08 GMT 2025","Sat Apr 05 16:27:08 GMT 2025","3","AuthService","verify","","","","should throw UnauthorizedException if firstNames do not match",""
"passed","Sat Apr 05 16:27:08 GMT 2025","Sat Apr 05 16:27:08 GMT 2025","4","ItineraryController","createItinerary","","","","should handle optional fields in the DTO correctly",""
"passed","Sat Apr 05 16:27:10 GMT 2025","Sat Apr 05 16:27:10 GMT 2025","3","EmailService","","","","","should send an email successfully",""
"passed","Sat Apr 05 16:27:09 GMT 2025","Sat Apr 05 16:27:09 GMT 2025","3","PreRegisterService","login","","","","should throw BadRequestException if email is not registered",""
"passed","Sat Apr 05 16:27:08 GMT 2025","Sat Apr 05 16:27:08 GMT 2025","4","AuthService","sendVerification","","","","should delete the oldest ticket if there are too many",""
"passed","Sat Apr 05 16:27:08 GMT 2025","Sat Apr 05 16:27:08 GMT 2025","2","AuthService","clearExpiredRefreshTokens","","","","should delete expired refresh tokens",""
"passed","Sat Apr 05 16:27:08 GMT 2025","Sat Apr 05 16:27:08 GMT 2025","3","AuthService","sendVerification","","","","should send verification email if user exists",""
"passed","Sat Apr 05 16:27:07 GMT 2025","Sat Apr 05 16:27:07 GMT 2025","3","NotificationService","update","","","","should throw NotFoundException if itinerary reminder does not exist",""
"passed","Sat Apr 05 16:27:08 GMT 2025","Sat Apr 05 16:27:08 GMT 2025","3","ItineraryService","updateItinerary","","","","should throw BadRequestException when duplicate section numbers are provided",""
"passed","Sat Apr 05 16:27:08 GMT 2025","Sat Apr 05 16:27:08 GMT 2025","2","ItineraryService","findAllTags","","","","should return an empty array if there are no tags",""
"passed","Sat Apr 05 16:27:08 GMT 2025","Sat Apr 05 16:27:08 GMT 2025","5","ItineraryService","createItinerary","","","","should throw BadRequestException when start date is after end date",""
"passed","Sat Apr 05 16:27:08 GMT 2025","Sat Apr 05 16:27:08 GMT 2025","7","ItineraryService","createItinerary","","","","should create an itinerary with default section title, empty blocks, and empty tags",""
"passed","Sat Apr 05 16:27:08 GMT 2025","Sat Apr 05 16:27:08 GMT 2025","2","ItineraryService","findOneItinerary","","","","should throw NotFoundException if itinerary does not exist",""
"passed","Sat Apr 05 16:27:09 GMT 2025","Sat Apr 05 16:27:09 GMT 2025","3","PreRegisterService","getReferralCode","","","","should throw BadRequestException if user is not found",""
"passed","Sat Apr 05 16:27:08 GMT 2025","Sat Apr 05 16:27:08 GMT 2025","16","ItineraryController","findOne","","","","should throw NotFoundException if itinerary is not found",""
"passed","Sat Apr 05 16:27:09 GMT 2025","Sat Apr 05 16:27:09 GMT 2025","4","AuthGuard","","","","","should allow access if the route is public",""
"passed","Sat Apr 05 16:27:08 GMT 2025","Sat Apr 05 16:27:08 GMT 2025","3","ItineraryService","updateItinerary","","","","should throw BadRequestException when start date is after end date",""
"passed","Sat Apr 05 16:27:10 GMT 2025","Sat Apr 05 16:27:10 GMT 2025","9","AppController","root","","","","should return ""Hello World!""",""
"passed","Sat Apr 05 16:27:09 GMT 2025","Sat Apr 05 16:27:09 GMT 2025","4","PreRegisterService","sendDiscordWebhook","","","","should send webhook for login-validation",""
"passed","Sat Apr 05 16:27:09 GMT 2025","Sat Apr 05 16:27:09 GMT 2025","3","AuthController","refreshToken","","","","should return new access and refresh tokens",""
"passed","Sat Apr 05 16:27:08 GMT 2025","Sat Apr 05 16:27:08 GMT 2025","3","ItineraryService","markAsComplete","","","","should throw ForbiddenException if user is not the owner",""
"passed","Sat Apr 05 16:27:07 GMT 2025","Sat Apr 05 16:27:07 GMT 2025","3","NotificationService","scheduleEmail","","","","should schedule a sendEmail job and verify it runs",""
"passed","Sat Apr 05 16:27:10 GMT 2025","Sat Apr 05 16:27:10 GMT 2025","3","StaticService","searchCities","","","","should return list of cities based on country",""
"passed","Sat Apr 05 16:27:09 GMT 2025","Sat Apr 05 16:27:09 GMT 2025","3","AuthController","refreshToken","","","","should throw UnauthorizedException if refresh token is invalid",""
"passed","Sat Apr 05 16:27:10 GMT 2025","Sat Apr 05 16:27:10 GMT 2025","3","RefreshStrategy","","","","","should validate user if refresh token is valid",""
