"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon May 05 08:52:53 GMT 2025","Mon May 05 08:52:53 GMT 2025","3","MeilisearchService","addOrUpdateItinerary","","","","should add a published itinerary to the index",""
"passed","Mon May 05 08:52:53 GMT 2025","Mon May 05 08:52:53 GMT 2025","2","ItineraryController","inviteToItinerary","","","","should invite a user to an itinerary and return a formatted response",""
"passed","Mon May 05 08:52:55 GMT 2025","Mon May 05 08:52:55 GMT 2025","2","PreRegisterController","referralCode","","","","should call service.getReferralCode with the correct userId",""
"passed","Mon May 05 08:52:53 GMT 2025","Mon May 05 08:52:53 GMT 2025","3","ItineraryService","findOneItinerary","","","","should throw NotFoundException if itinerary does not exist",""
"passed","Mon May 05 08:52:56 GMT 2025","Mon May 05 08:52:56 GMT 2025","2","PaymentService","findOne","","","","should return a string indicating a specific payment was returned",""
"passed","Mon May 05 08:52:53 GMT 2025","Mon May 05 08:52:53 GMT 2025","2","ItineraryService","findAllTags","","","","should return an empty array if there are no tags",""
"passed","Mon May 05 08:52:52 GMT 2025","Mon May 05 08:52:52 GMT 2025","6","AuthService","createUser","","","","should throw ConflictException if user already exists and is confirmed",""
"passed","Mon May 05 08:52:53 GMT 2025","Mon May 05 08:52:53 GMT 2025","4","MeilisearchService","deleteItinerary","","","","should throw other errors",""
"passed","Mon May 05 08:52:55 GMT 2025","Mon May 05 08:52:55 GMT 2025","12","ProfileController","getListItineraryLikes","","","","should return itinerary likes when getListItineraryLikes is called with a valid ID",""
"passed","Mon May 05 08:52:53 GMT 2025","Mon May 05 08:52:53 GMT 2025","5","ItineraryService","updateItinerary","","","","should update an itinerary with new details, tags, sections, and blocks",""
"passed","Mon May 05 08:52:52 GMT 2025","Mon May 05 08:52:52 GMT 2025","4","AuthService","refreshToken","","","","should return new access and refresh tokens if refresh token is valid",""
"passed","Mon May 05 08:52:53 GMT 2025","Mon May 05 08:52:53 GMT 2025","10","ItineraryService","updateItinerary","","","","should throw BadRequestException when start date is after end date",""
"passed","Mon May 05 08:52:52 GMT 2025","Mon May 05 08:52:52 GMT 2025","63","AuthService","login","","","","should throw UnauthorizedException if user is not found",""
"passed","Mon May 05 08:52:55 GMT 2025","Mon May 05 08:52:55 GMT 2025","3","AuthGuard","","","","","should throw UnauthorizedException if user not found",""
"passed","Mon May 05 08:52:53 GMT 2025","Mon May 05 08:52:53 GMT 2025","5","ItineraryService","createItinerary","","","","should throw BadRequestException when start date is after end date",""
"passed","Mon May 05 08:52:55 GMT 2025","Mon May 05 08:52:55 GMT 2025","2","PreRegisterController","login","","","","should call service.login with the correct email",""
"passed","Mon May 05 08:52:54 GMT 2025","Mon May 05 08:52:54 GMT 2025","4","NotificationController","findOne","","","","should pass errors from service to the caller",""
"passed","Mon May 05 08:52:52 GMT 2025","Mon May 05 08:52:52 GMT 2025","3","AuthService","sendVerification","","","","should delete the oldest ticket if there are too many",""
"passed","Mon May 05 08:52:53 GMT 2025","Mon May 05 08:52:53 GMT 2025","2","ItineraryController","removeUserFromItinerary","","","","should remove a user from an itinerary and return a formatted response",""
"passed","Mon May 05 08:52:53 GMT 2025","Mon May 05 08:52:53 GMT 2025","3","ItineraryService","findMySharedItineraries","","","","should throw an error when page number exceeds total pages",""
"passed","Mon May 05 08:52:53 GMT 2025","Mon May 05 08:52:53 GMT 2025","5","ItineraryController","inviteToItinerary","","","","should throw ForbiddenException if the user is not authorized to invite",""
"passed","Mon May 05 08:52:51 GMT 2025","Mon May 05 08:52:51 GMT 2025","4","NotificationService","remove","","","","should remove an itinerary reminder",""
"passed","Mon May 05 08:52:53 GMT 2025","Mon May 05 08:52:53 GMT 2025","3","MeilisearchService","deleteItinerary","","","","should handle document not found gracefully",""
"passed","Mon May 05 08:52:55 GMT 2025","Mon May 05 08:52:55 GMT 2025","7","AuthGuard","","","","","should throw UnauthorizedException if token is invalid",""
"passed","Mon May 05 08:52:53 GMT 2025","Mon May 05 08:52:53 GMT 2025","5","ItineraryService","createItinerary","","","","should not create route when routeToNext is undefined or null",""
"passed","Mon May 05 08:52:54 GMT 2025","Mon May 05 08:52:54 GMT 2025","4","GeminiService","generateFeedback","","","","should return parsed feedback array from AI response",""
"passed","Mon May 05 08:52:53 GMT 2025","Mon May 05 08:52:53 GMT 2025","3","ItineraryController","unsaveItinerary","","","","should unsave the itinerary for the user",""
"passed","Mon May 05 08:52:51 GMT 2025","Mon May 05 08:52:51 GMT 2025","9","NotificationService","_formatReminderOption","","","","should return ""10 menit"" for TEN_MINUTES_BEFORE option",""
"passed","Mon May 05 08:52:54 GMT 2025","Mon May 05 08:52:54 GMT 2025","25","PreRegisterService","createPreRegister","","","","should create a new user and send confirmation email",""
"passed","Mon May 05 08:52:56 GMT 2025","Mon May 05 08:52:56 GMT 2025","2","EmailService","","","","","should handle errors if sending email fails",""
"passed","Mon May 05 08:52:51 GMT 2025","Mon May 05 08:52:51 GMT 2025","4","NotificationService","findAll","","","","should return an array of itinerary reminders",""
"passed","Mon May 05 08:52:54 GMT 2025","Mon May 05 08:52:54 GMT 2025","30","ProfileService","","","","","should be defined",""
"passed","Mon May 05 08:52:54 GMT 2025","Mon May 05 08:52:54 GMT 2025","3","NotificationController","findOne","","","","should fetch an itinerary reminder and return OK when found",""
"passed","Mon May 05 08:52:56 GMT 2025","Mon May 05 08:52:56 GMT 2025","4","TicketController","findAll","","","","should return array of tickets",""
"passed","Mon May 05 08:52:54 GMT 2025","Mon May 05 08:52:54 GMT 2025","3","PreRegisterService","getPreRegisterCount","","","","should return total pre-registered users count",""
"passed","Mon May 05 08:52:55 GMT 2025","Mon May 05 08:52:55 GMT 2025","3","AuthController","refreshToken","","","","should throw UnauthorizedException if refresh token is invalid",""
"passed","Mon May 05 08:52:53 GMT 2025","Mon May 05 08:52:53 GMT 2025","5","ItineraryService","createItinerary","","","","should throw BadRequestException when no sections are provided",""
"passed","Mon May 05 08:52:53 GMT 2025","Mon May 05 08:52:53 GMT 2025","4","ItineraryService","_checkUpdateItineraryPermission","","","","should throw NotFoundException when itinerary does not exist",""
"passed","Mon May 05 08:52:52 GMT 2025","Mon May 05 08:52:52 GMT 2025","3","AuthService","login","","","","should return access and refresh tokens if login is successful",""
"passed","Mon May 05 08:52:53 GMT 2025","Mon May 05 08:52:53 GMT 2025","2","ItineraryService","createViewItinerary","","","","should update viewedAt if itinerary already viewed",""
"passed","Mon May 05 08:52:53 GMT 2025","Mon May 05 08:52:53 GMT 2025","2","MeilisearchService","deleteItinerary","","","","should delete an itinerary from the index",""
"passed","Mon May 05 08:52:53 GMT 2025","Mon May 05 08:52:53 GMT 2025","3","ItineraryController","findContingencies","","","","should throw NotFoundException if itinerary not found",""
"passed","Mon May 05 08:52:51 GMT 2025","Mon May 05 08:52:51 GMT 2025","3","NotificationService","findOne","","","","should return an itinerary reminder with associated itinerary id",""
"passed","Mon May 05 08:52:55 GMT 2025","Mon May 05 08:52:55 GMT 2025","7","MeilisearchController","syncItineraries","","","","should throw UnauthorizedException when provided with invalid API key",""
"passed","Mon May 05 08:52:53 GMT 2025","Mon May 05 08:52:53 GMT 2025","3","ItineraryController","findContingencyById","","","","should return a specific contingency plan",""
"passed","Mon May 05 08:52:53 GMT 2025","Mon May 05 08:52:53 GMT 2025","3","ItineraryService","publishItinerary","","","","should publish the itinerary if all checks pass",""
"passed","Mon May 05 08:52:55 GMT 2025","Mon May 05 08:52:55 GMT 2025","2","AuthController","getme","","","","should return the authenticated user",""
"passed","Mon May 05 08:52:53 GMT 2025","Mon May 05 08:52:53 GMT 2025","2","ItineraryService","findOneItinerary","","","","should throw ForbiddenException if user is not authorized",""
"passed","Mon May 05 08:52:53 GMT 2025","Mon May 05 08:52:53 GMT 2025","3","ItineraryService","publishItinerary","","","","should throw NotFoundException if itinerary not found",""
"passed","Mon May 05 08:52:53 GMT 2025","Mon May 05 08:52:53 GMT 2025","2","ItineraryController","acceptItineraryInvitation","","","","should throw ForbiddenException if the user is not authorized to accept the invitation",""
"passed","Mon May 05 08:52:55 GMT 2025","Mon May 05 08:52:55 GMT 2025","2","MapService","getPriceRangeByPlaceId","","","","should handle missing price range data",""
"passed","Mon May 05 08:52:51 GMT 2025","Mon May 05 08:52:51 GMT 2025","3","NotificationService","update","","","","should throw NotFoundException if itinerary reminder does not exist",""
"passed","Mon May 05 08:52:53 GMT 2025","Mon May 05 08:52:53 GMT 2025","1","MeilisearchService","calculateDaysCount","","","","should calculate days count from date range",""
"passed","Mon May 05 08:52:54 GMT 2025","Mon May 05 08:52:54 GMT 2025","19","GeminiService","","","","","should be defined",""
"passed","Mon May 05 08:52:51 GMT 2025","Mon May 05 08:52:51 GMT 2025","5","NotificationService","scheduleEmail","","","","should schedule a sendEmail job and verify it runs",""
"passed","Mon May 05 08:52:53 GMT 2025","Mon May 05 08:52:53 GMT 2025","6","ItineraryController","updateItinerary","","","","should pass errors from service to the caller",""
"passed","Mon May 05 08:52:53 GMT 2025","Mon May 05 08:52:53 GMT 2025","5","ItineraryService","findAllMyItineraries","","","","should return paginated itineraries for both owned and shared when sharedBool is false",""
"passed","Mon May 05 08:52:53 GMT 2025","Mon May 05 08:52:53 GMT 2025","4","ItineraryService","findOneItinerary","","","","should return itinerary when found and user has access to it",""
"passed","Mon May 05 08:52:51 GMT 2025","Mon May 05 08:52:51 GMT 2025","4","NotificationService","create","","","","should throw ConflictException if itinerary reminder already exist",""
"passed","Mon May 05 08:52:56 GMT 2025","Mon May 05 08:52:56 GMT 2025","3","PaginationDto","","","","","should transform page to a number",""
"passed","Mon May 05 08:52:54 GMT 2025","Mon May 05 08:52:54 GMT 2025","3","NotificationController","removeAndCancel","","","","should remove an itinerary reminder and cancel the cron job",""
"passed","Mon May 05 08:52:56 GMT 2025","Mon May 05 08:52:56 GMT 2025","1","TicketController","remove","","","","should remove a ticket",""
"passed","Mon May 05 08:52:52 GMT 2025","Mon May 05 08:52:52 GMT 2025","119","AuthService","register","","","","should throw NotFoundException if user is not found",""
"passed","Mon May 05 08:52:55 GMT 2025","Mon May 05 08:52:55 GMT 2025","3","MapService","getPriceRangeByPlaceId","","","","should return price range when API call is successful",""
"passed","Mon May 05 08:52:52 GMT 2025","Mon May 05 08:52:52 GMT 2025","5","AuthService","register","","","","should throw BadRequestException if passwords do not match",""
"passed","Mon May 05 08:52:53 GMT 2025","Mon May 05 08:52:53 GMT 2025","5","ItineraryService","unsaveItinerary","","","","should throw NotFoundException if itinerary does not exist",""
"passed","Mon May 05 08:52:53 GMT 2025","Mon May 05 08:52:53 GMT 2025","4","ItineraryService","removeItinerary","","","","should throw ForbiddenException when user is not the owner of the itinerary",""
"passed","Mon May 05 08:52:53 GMT 2025","Mon May 05 08:52:53 GMT 2025","3","ItineraryService","removeItinerary","","","","should throw NotFoundException if itinerary does not exist",""
"passed","Mon May 05 08:52:53 GMT 2025","Mon May 05 08:52:53 GMT 2025","2","ItineraryService","duplicateContingency","","","","should throw ForbiddenException if user does not own the itinerary and the itinerary is not public",""
"passed","Mon May 05 08:52:53 GMT 2025","Mon May 05 08:52:53 GMT 2025","3","ItineraryService","duplicateItinerary","","","","should duplicate an itinerary with default fields succesfully",""
"passed","Mon May 05 08:52:53 GMT 2025","Mon May 05 08:52:53 GMT 2025","3","ItineraryService","updateItinerary","","","","should throw ForbiddenException if user does not own the itinerary",""
"passed","Mon May 05 08:52:53 GMT 2025","Mon May 05 08:52:53 GMT 2025","2","ItineraryService","batchCheckUserSavedItinerary","","","","should check saved status of public itinerary ids for the user",""
"passed","Mon May 05 08:52:55 GMT 2025","Mon May 05 08:52:55 GMT 2025","4","MapService","getPriceRangeByPlaceId","","","","should throw an error if placeId is not provided",""
"passed","Mon May 05 08:52:53 GMT 2025","Mon May 05 08:52:53 GMT 2025","3","ItineraryService","searchItineraries","","","","should handle search with complex filters and sorting",""
"passed","Mon May 05 08:52:53 GMT 2025","Mon May 05 08:52:53 GMT 2025","2","ItineraryController","findAllTags","","","","should return an empty array if no tags are found",""
"passed","Mon May 05 08:52:53 GMT 2025","Mon May 05 08:52:53 GMT 2025","3","ItineraryController","getViewItinerary","","","","should call service and return viewed itineraries",""
"passed","Mon May 05 08:52:53 GMT 2025","Mon May 05 08:52:53 GMT 2025","3","ItineraryController","createItinerary","","","","should handle optional fields in the DTO correctly",""
"passed","Mon May 05 08:52:53 GMT 2025","Mon May 05 08:52:53 GMT 2025","2","ItineraryController","removeUserFromItinerary","","","","should throw ForbiddenException if the user is not authorized to remove participants",""
"passed","Mon May 05 08:52:51 GMT 2025","Mon May 05 08:52:51 GMT 2025","19","NotificationService","remove","","","","should throw NotFoundException if itinerary doesnt exist",""
"passed","Mon May 05 08:52:53 GMT 2025","Mon May 05 08:52:53 GMT 2025","5","ItineraryController","findMySharedItineraries","","","","should return shared itineraries successfully",""
"passed","Mon May 05 08:52:53 GMT 2025","Mon May 05 08:52:53 GMT 2025","4","ItineraryController","createItinerary","","","","should create an itinerary and return a formatted response",""
"passed","Mon May 05 08:52:56 GMT 2025","Mon May 05 08:52:56 GMT 2025","13","GeminiController","","","","","should be defined",""
"passed","Mon May 05 08:52:53 GMT 2025","Mon May 05 08:52:53 GMT 2025","2","MeilisearchService","formatItineraryForIndex","","","","should handle null or undefined itinerary and return null",""
"passed","Mon May 05 08:52:54 GMT 2025","Mon May 05 08:52:54 GMT 2025","2","UmamiService","getUmamiAnalytics","","","","should return 401 Unauthorized if UMAMI_API_KEY is not set",""
"passed","Mon May 05 08:52:54 GMT 2025","Mon May 05 08:52:54 GMT 2025","2","ProfileService","getListItineraryLikes","","","","should handle user with no liked itineraries",""
"passed","Mon May 05 08:52:53 GMT 2025","Mon May 05 08:52:53 GMT 2025","2","ItineraryController","createContingency","","","","should throw NotFoundException if itinerary not found",""
"passed","Mon May 05 08:52:55 GMT 2025","Mon May 05 08:52:55 GMT 2025","3","ProfileController","getListItineraries","","","","should return itineraries when getListItineraries is called with a valid ID",""
"passed","Mon May 05 08:52:53 GMT 2025","Mon May 05 08:52:53 GMT 2025","3","ItineraryService","acceptItineraryInvitation","","","","should throw NotFoundException if the pending invitation does not exist",""
"passed","Mon May 05 08:52:53 GMT 2025","Mon May 05 08:52:53 GMT 2025","3","ItineraryController","duplicateItineraryAndContingencies","","","","should pass errors from service to the caller",""
"passed","Mon May 05 08:52:53 GMT 2025","Mon May 05 08:52:53 GMT 2025","5","ItineraryController","getSearchSuggestions","","","","should limit suggestions to top 5 results",""
"passed","Mon May 05 08:52:51 GMT 2025","Mon May 05 08:52:51 GMT 2025","2","NotificationService","_formatReminderOption","","","","should return ""1 hari"" for ONE_DAY_BEFORE option",""
"passed","Mon May 05 08:52:53 GMT 2025","Mon May 05 08:52:53 GMT 2025","3","ItineraryController","searchItineraries","","","","should search itineraries with tags filter",""
"passed","Mon May 05 08:52:51 GMT 2025","Mon May 05 08:52:51 GMT 2025","10","NotificationService","scheduleEmail","","","","should throw a BadRequestException on jobs with date in past",""
"passed","Mon May 05 08:52:55 GMT 2025","Mon May 05 08:52:55 GMT 2025","4","AuthController","refreshToken","","","","should return new access and refresh tokens",""
"passed","Mon May 05 08:52:54 GMT 2025","Mon May 05 08:52:54 GMT 2025","3","UmamiService","sendToDiscord","","","","should handle Discord webhook errors gracefully",""
"passed","Mon May 05 08:52:53 GMT 2025","Mon May 05 08:52:53 GMT 2025","2","ItineraryController","findMyItineraries","","","","should return empty data when there are no itineraries",""
"passed","Mon May 05 08:52:55 GMT 2025","Mon May 05 08:52:55 GMT 2025","2","MapService","getPriceRangeByPlaceId","","","","should throw an error when API call fails",""
"passed","Mon May 05 08:52:55 GMT 2025","Mon May 05 08:52:55 GMT 2025","5","RefreshStrategy","","","","","should be defined",""
"passed","Mon May 05 08:52:53 GMT 2025","Mon May 05 08:52:53 GMT 2025","2","MeilisearchService","addOrUpdateItinerary","","","","should delete an unpublished itinerary from the index",""
