"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Mar 05 13:40:20 GMT 2025","Wed Mar 05 13:40:20 GMT 2025","16","PreRegisterService","getReferralCode","","","","should return user referral code and count",""
"passed","Wed Mar 05 13:40:20 GMT 2025","Wed Mar 05 13:40:20 GMT 2025","5","StaticController","getCountries","","","","should return list of countries",""
"passed","Wed Mar 05 13:40:19 GMT 2025","Wed Mar 05 13:40:19 GMT 2025","7","StaticService","searchCountries","","","","should return list of countries",""
"passed","Wed Mar 05 13:40:20 GMT 2025","Wed Mar 05 13:40:20 GMT 2025","6","PreRegisterService","_generateTicket","","","","should create a new ticket for the user",""
"passed","Wed Mar 05 13:40:22 GMT 2025","Wed Mar 05 13:40:22 GMT 2025","21","PaymentService","","","","","should be defined",""
"passed","Wed Mar 05 13:40:21 GMT 2025","Wed Mar 05 13:40:21 GMT 2025","9","PaymentController","","","","","should be defined",""
"passed","Wed Mar 05 13:40:22 GMT 2025","Wed Mar 05 13:40:22 GMT 2025","16","TicketService","","","","","should be defined",""
"passed","Wed Mar 05 13:40:20 GMT 2025","Wed Mar 05 13:40:20 GMT 2025","17","PreRegisterService","createPreRegister","","","","should throw BadRequestException if email is already registered",""
"passed","Wed Mar 05 13:40:20 GMT 2025","Wed Mar 05 13:40:20 GMT 2025","3","StaticController","getCountryCode","","","","should return country code",""
"passed","Wed Mar 05 13:40:20 GMT 2025","Wed Mar 05 13:40:20 GMT 2025","17","PreRegisterController","validateLogin","","","","should call service.validateLogin with correct ticketId",""
"passed","Wed Mar 05 13:40:20 GMT 2025","Wed Mar 05 13:40:20 GMT 2025","22","EmailService","","","","","should be defined",""
"passed","Wed Mar 05 13:40:20 GMT 2025","Wed Mar 05 13:40:20 GMT 2025","35","PreRegisterController","","","","","should be defined",""
"passed","Wed Mar 05 13:40:20 GMT 2025","Wed Mar 05 13:40:20 GMT 2025","7","PreRegisterService","_generateTicket","","","","should delete the oldest ticket if more than 5 exist",""
"passed","Wed Mar 05 13:40:19 GMT 2025","Wed Mar 05 13:40:19 GMT 2025","65","StaticService","","","","","should be defined",""
"passed","Wed Mar 05 13:40:19 GMT 2025","Wed Mar 05 13:40:19 GMT 2025","4","StaticService","_getCountryCode","","","","should return country details based on placeId",""
"passed","Wed Mar 05 13:40:20 GMT 2025","Wed Mar 05 13:40:20 GMT 2025","23","EmailService","","","","","should send an email successfully",""
"passed","Wed Mar 05 13:40:19 GMT 2025","Wed Mar 05 13:40:19 GMT 2025","4","StaticService","searchCities","","","","should return list of cities based on country",""
"passed","Wed Mar 05 13:40:21 GMT 2025","Wed Mar 05 13:40:21 GMT 2025","14","ItineraryController","","","","","should be defined",""
"passed","Wed Mar 05 13:40:20 GMT 2025","Wed Mar 05 13:40:20 GMT 2025","5","PreRegisterController","preRegister","","","","should call service.createPreRegister with correct data",""
"passed","Wed Mar 05 13:40:21 GMT 2025","Wed Mar 05 13:40:21 GMT 2025","9","ProfileController","","","","","should be defined",""
"passed","Wed Mar 05 13:40:20 GMT 2025","Wed Mar 05 13:40:20 GMT 2025","6","PreRegisterService","_generateTicket","","","","should throw BadRequestException if last ticket is still valid",""
"passed","Wed Mar 05 13:40:20 GMT 2025","Wed Mar 05 13:40:20 GMT 2025","3","PreRegisterController","login","","","","should call service.login with the correct email",""
"passed","Wed Mar 05 13:40:20 GMT 2025","Wed Mar 05 13:40:20 GMT 2025","7","PreRegisterService","login","","","","should send login email if user exists",""
"passed","Wed Mar 05 13:40:20 GMT 2025","Wed Mar 05 13:40:20 GMT 2025","13","StaticController","","","","","should be defined",""
"passed","Wed Mar 05 13:40:21 GMT 2025","Wed Mar 05 13:40:21 GMT 2025","18","AppController","root","","","","should return ""Hello World!""",""
"passed","Wed Mar 05 13:40:22 GMT 2025","Wed Mar 05 13:40:22 GMT 2025","6","MapService","","","","","should be defined",""
"passed","Wed Mar 05 13:40:20 GMT 2025","Wed Mar 05 13:40:20 GMT 2025","10","PreRegisterService","getReferralCode","","","","should throw BadRequestException if user is not found",""
"passed","Wed Mar 05 13:40:22 GMT 2025","Wed Mar 05 13:40:22 GMT 2025","9","ProfileService","","","","","should be defined",""
"passed","Wed Mar 05 13:40:20 GMT 2025","Wed Mar 05 13:40:20 GMT 2025","10","PreRegisterService","sendDiscordWebhook","","","","should send webhook for login-validation",""
"passed","Wed Mar 05 13:40:21 GMT 2025","Wed Mar 05 13:40:21 GMT 2025","16","NotificationController","","","","","should be defined",""
"passed","Wed Mar 05 13:40:20 GMT 2025","Wed Mar 05 13:40:20 GMT 2025","75","PreRegisterService","createPreRegister","","","","should create a new user and send confirmation email",""
"passed","Wed Mar 05 13:40:20 GMT 2025","Wed Mar 05 13:40:20 GMT 2025","52","PreRegisterService","","","","","should be defined",""
"passed","Wed Mar 05 13:40:20 GMT 2025","Wed Mar 05 13:40:20 GMT 2025","5","EmailService","","","","","should handle errors if sending email fails",""
"passed","Wed Mar 05 13:40:20 GMT 2025","Wed Mar 05 13:40:20 GMT 2025","3","PreRegisterController","getPreRegisterCount","","","","should return the pre-register count",""
