"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Mar 08 21:55:13 GMT 2025","Sat Mar 08 21:55:13 GMT 2025","6","AuthController","refreshToken","","","","should throw UnauthorizedException if refresh token is invalid",""
"passed","Sat Mar 08 21:55:13 GMT 2025","Sat Mar 08 21:55:13 GMT 2025","9","PreRegisterService","getPreRegisterCount","","","","should return total pre-registered users count",""
"passed","Sat Mar 08 21:55:13 GMT 2025","Sat Mar 08 21:55:13 GMT 2025","4","AuthService","clearExpiredRefreshTokens","","","","should delete expired refresh tokens",""
"passed","Sat Mar 08 21:55:13 GMT 2025","Sat Mar 08 21:55:13 GMT 2025","5","AuthService","verify","","","","should throw UnauthorizedException if emails do not match",""
"passed","Sat Mar 08 21:55:13 GMT 2025","Sat Mar 08 21:55:13 GMT 2025","3","AuthController","register","","","","should call authService.register with correct data",""
"passed","Sat Mar 08 21:55:14 GMT 2025","Sat Mar 08 21:55:14 GMT 2025","32","StaticService","","","","","should be defined",""
"passed","Sat Mar 08 21:55:13 GMT 2025","Sat Mar 08 21:55:13 GMT 2025","5","AuthService","createUser","","","","should create a new user if user does not exist",""
"passed","Sat Mar 08 21:55:13 GMT 2025","Sat Mar 08 21:55:13 GMT 2025","10","PreRegisterService","sendDiscordWebhook","","","","should send webhook for login-validation",""
"passed","Sat Mar 08 21:55:14 GMT 2025","Sat Mar 08 21:55:14 GMT 2025","3","AuthGuard","","","","","should throw UnauthorizedException if user not found",""
"passed","Sat Mar 08 21:55:13 GMT 2025","Sat Mar 08 21:55:13 GMT 2025","6","PreRegisterService","sendDiscordWebhook","","","","should not send webhook if DISCORD_WEBHOOK_URL is not set",""
"passed","Sat Mar 08 21:55:14 GMT 2025","Sat Mar 08 21:55:14 GMT 2025","3","EmailService","","","","","should send an email successfully",""
"passed","Sat Mar 08 21:55:13 GMT 2025","Sat Mar 08 21:55:13 GMT 2025","3","AuthService","createUser","","","","should throw BadRequestException if user was created recently and is not confirmed",""
"passed","Sat Mar 08 21:55:14 GMT 2025","Sat Mar 08 21:55:14 GMT 2025","5","StaticService","_getCountryCode","","","","should return country details based on placeId",""
"passed","Sat Mar 08 21:55:13 GMT 2025","Sat Mar 08 21:55:13 GMT 2025","133","PreRegisterService","createPreRegister","","","","should create a new user and send confirmation email",""
"passed","Sat Mar 08 21:55:15 GMT 2025","Sat Mar 08 21:55:15 GMT 2025","7","NotificationService","","","","","should be defined",""
"passed","Sat Mar 08 21:55:14 GMT 2025","Sat Mar 08 21:55:14 GMT 2025","3","StaticController","getCountryCode","","","","should return country code",""
"passed","Sat Mar 08 21:55:13 GMT 2025","Sat Mar 08 21:55:13 GMT 2025","5","PreRegisterService","_generateTicket","","","","should delete the oldest ticket if more than 5 exist",""
"skipped","Sat Mar 08 21:55:14 GMT 2025","","","RefreshStrategy","","","","","should be defined",""
"passed","Sat Mar 08 21:55:14 GMT 2025","Sat Mar 08 21:55:14 GMT 2025","6","AuthGuard","","","","","should throw UnauthorizedException if token is invalid",""
"passed","Sat Mar 08 21:55:14 GMT 2025","Sat Mar 08 21:55:14 GMT 2025","3","AuthGuard","","","","","should allow access if token is valid",""
"passed","Sat Mar 08 21:55:13 GMT 2025","Sat Mar 08 21:55:13 GMT 2025","6","PreRegisterService","getReferralCode","","","","should return user referral code and count",""
"passed","Sat Mar 08 21:55:14 GMT 2025","Sat Mar 08 21:55:14 GMT 2025","14","EmailService","","","","","should handle errors if sending email fails",""
"passed","Sat Mar 08 21:55:13 GMT 2025","Sat Mar 08 21:55:13 GMT 2025","3","AuthService","createUser","","","","should throw ConflictException if user already exists and is confirmed",""
"passed","Sat Mar 08 21:55:13 GMT 2025","Sat Mar 08 21:55:13 GMT 2025","31","AuthService","login","","","","should throw UnauthorizedException if password is invalid",""
"passed","Sat Mar 08 21:55:14 GMT 2025","Sat Mar 08 21:55:14 GMT 2025","3","StaticController","getCities","","","","should return list of cities",""
"passed","Sat Mar 08 21:55:15 GMT 2025","Sat Mar 08 21:55:15 GMT 2025","8","ItineraryService","","","","","should be defined",""
"passed","Sat Mar 08 21:55:15 GMT 2025","Sat Mar 08 21:55:15 GMT 2025","14","ProfileController","","","","","should be defined",""
"passed","Sat Mar 08 21:55:14 GMT 2025","Sat Mar 08 21:55:14 GMT 2025","5","PreRegisterController","preRegister","","","","should call service.createPreRegister with correct data",""
"passed","Sat Mar 08 21:55:13 GMT 2025","Sat Mar 08 21:55:13 GMT 2025","7","PreRegisterService","getReferralCode","","","","should throw BadRequestException if user is not found",""
"passed","Sat Mar 08 21:55:14 GMT 2025","Sat Mar 08 21:55:14 GMT 2025","2","StaticService","getCountryCode","","","","should return country code response",""
"skipped","Sat Mar 08 21:55:14 GMT 2025","","","RefreshStrategy","","","","","should throw UnauthorizedException if user not found",""
"passed","Sat Mar 08 21:55:13 GMT 2025","Sat Mar 08 21:55:13 GMT 2025","3","PreRegisterService","_generateTicket","","","","should throw BadRequestException if last ticket is still valid",""
"passed","Sat Mar 08 21:55:13 GMT 2025","Sat Mar 08 21:55:13 GMT 2025","7","PreRegisterService","sendDiscordWebhook","","","","should handle errors if fetch fails",""
"passed","Sat Mar 08 21:55:14 GMT 2025","Sat Mar 08 21:55:14 GMT 2025","8","EmailService","","","","","should be defined",""
"skipped","Sat Mar 08 21:55:14 GMT 2025","","","RefreshStrategy","","","","","should extract refresh token from cookies",""
"passed","Sat Mar 08 21:55:14 GMT 2025","Sat Mar 08 21:55:14 GMT 2025","9","AppController","root","","","","should return ""Hello World!""",""
"passed","Sat Mar 08 21:55:13 GMT 2025","Sat Mar 08 21:55:13 GMT 2025","16","PreRegisterService","validateLogin","","","","should validate login ticket and return access token",""
"passed","Sat Mar 08 21:55:14 GMT 2025","Sat Mar 08 21:55:14 GMT 2025","2","PreRegisterController","referralCode","","","","should call service.getReferralCode with the correct userId",""
"passed","Sat Mar 08 21:55:14 GMT 2025","Sat Mar 08 21:55:14 GMT 2025","6","PreRegisterController","getPreRegisterCount","","","","should return the pre-register count",""
"passed","Sat Mar 08 21:55:14 GMT 2025","Sat Mar 08 21:55:14 GMT 2025","5","StaticService","searchCities","","","","should return list of cities based on country",""
"passed","Sat Mar 08 21:55:13 GMT 2025","Sat Mar 08 21:55:13 GMT 2025","11","PreRegisterService","validateLogin","","","","should throw UnauthorizedException for invalid ticket",""
"passed","Sat Mar 08 21:55:13 GMT 2025","Sat Mar 08 21:55:13 GMT 2025","3","AuthService","sendVerification","","","","should throw BadRequestException if requesting too fast",""
"passed","Sat Mar 08 21:55:13 GMT 2025","Sat Mar 08 21:55:13 GMT 2025","6","AuthService","sendVerification","","","","should send verification email if user exists",""
"passed","Sat Mar 08 21:55:13 GMT 2025","Sat Mar 08 21:55:13 GMT 2025","4","AuthService","register","","","","should throw BadRequestException if passwords do not match",""
"passed","Sat Mar 08 21:55:14 GMT 2025","Sat Mar 08 21:55:14 GMT 2025","3","PreRegisterController","validateLogin","","","","should call service.validateLogin with correct ticketId",""
"passed","Sat Mar 08 21:55:13 GMT 2025","Sat Mar 08 21:55:13 GMT 2025","12","AuthController","login","","","","should throw UnauthorizedException if email is not registered",""
"passed","Sat Mar 08 21:55:13 GMT 2025","Sat Mar 08 21:55:13 GMT 2025","13","AuthService","login","","","","should return access and refresh tokens if login is successful",""
"passed","Sat Mar 08 21:55:13 GMT 2025","Sat Mar 08 21:55:13 GMT 2025","9","PreRegisterService","login","","","","should throw BadRequestException if email is not registered",""
"passed","Sat Mar 08 21:55:15 GMT 2025","Sat Mar 08 21:55:15 GMT 2025","14","ProfileService","","","","","should be defined",""
"passed","Sat Mar 08 21:55:14 GMT 2025","Sat Mar 08 21:55:14 GMT 2025","3","PreRegisterController","login","","","","should call service.login with the correct email",""
"passed","Sat Mar 08 21:55:13 GMT 2025","Sat Mar 08 21:55:13 GMT 2025","28","AuthService","register","","","","should update user and send registration email if verification is successful",""
"passed","Sat Mar 08 21:55:13 GMT 2025","Sat Mar 08 21:55:13 GMT 2025","4","AuthController","verify","","","","should call authService.verify with correct data",""
"passed","Sat Mar 08 21:55:12 GMT 2025","Sat Mar 08 21:55:13 GMT 2025","152","PreRegisterService","","","","","should be defined",""
"passed","Sat Mar 08 21:55:13 GMT 2025","Sat Mar 08 21:55:13 GMT 2025","4","AuthService","refreshToken","","","","should throw UnauthorizedException if refresh token is blacklisted",""
"passed","Sat Mar 08 21:55:14 GMT 2025","Sat Mar 08 21:55:14 GMT 2025","10","StaticController","","","","","should be defined",""
"passed","Sat Mar 08 21:55:15 GMT 2025","Sat Mar 08 21:55:15 GMT 2025","8","PaymentService","","","","","should be defined",""
"passed","Sat Mar 08 21:55:13 GMT 2025","Sat Mar 08 21:55:13 GMT 2025","6","AuthService","verify","","","","should throw UnauthorizedException if firstNames do not match",""
"passed","Sat Mar 08 21:55:15 GMT 2025","Sat Mar 08 21:55:15 GMT 2025","7","TicketService","","","","","should be defined",""
"passed","Sat Mar 08 21:55:13 GMT 2025","Sat Mar 08 21:55:13 GMT 2025","65","AuthController","login","","","","should return access and refresh tokens on successful login",""
"passed","Sat Mar 08 21:55:14 GMT 2025","Sat Mar 08 21:55:14 GMT 2025","4","StaticService","searchCountries","","","","should return list of countries",""
"passed","Sat Mar 08 21:55:13 GMT 2025","Sat Mar 08 21:55:13 GMT 2025","30","PreRegisterService","createPreRegister","","","","should throw NotFoundException if referral code is not found",""
"skipped","Sat Mar 08 21:55:14 GMT 2025","","","RefreshStrategy","","","","","should validate user if refresh token is valid",""
"passed","Sat Mar 08 21:55:15 GMT 2025","Sat Mar 08 21:55:15 GMT 2025","9","TicketController","","","","","should be defined",""
"passed","Sat Mar 08 21:55:13 GMT 2025","Sat Mar 08 21:55:13 GMT 2025","8","AuthController","login","","","","should throw UnauthorizedException if password is incorrect",""
"passed","Sat Mar 08 21:55:15 GMT 2025","Sat Mar 08 21:55:15 GMT 2025","9","PaymentController","","","","","should be defined",""
"passed","Sat Mar 08 21:55:13 GMT 2025","Sat Mar 08 21:55:13 GMT 2025","9","PreRegisterService","sendDiscordWebhook","","","","should send webhook for pre-registration",""
"passed","Sat Mar 08 21:55:13 GMT 2025","Sat Mar 08 21:55:13 GMT 2025","4","AuthService","sendVerification","","","","should throw BadRequestException if user does not exist",""
"passed","Sat Mar 08 21:55:15 GMT 2025","Sat Mar 08 21:55:15 GMT 2025","8","MapController","","","","","should be defined",""
"passed","Sat Mar 08 21:55:14 GMT 2025","Sat Mar 08 21:55:14 GMT 2025","3","StaticController","getCountries","","","","should return list of countries",""
"passed","Sat Mar 08 21:55:14 GMT 2025","Sat Mar 08 21:55:14 GMT 2025","7","NotificationController","","","","","should be defined",""
"passed","Sat Mar 08 21:55:13 GMT 2025","Sat Mar 08 21:55:13 GMT 2025","176","AuthService","register","","","","should throw NotFoundException if user is not found",""
"passed","Sat Mar 08 21:55:13 GMT 2025","Sat Mar 08 21:55:13 GMT 2025","3","PreRegisterService","_generateTicket","","","","should create a new ticket for the user",""
"passed","Sat Mar 08 21:55:13 GMT 2025","Sat Mar 08 21:55:14 GMT 2025","6","AuthGuard","","","","","should allow access if the route is public",""
"passed","Sat Mar 08 21:55:13 GMT 2025","Sat Mar 08 21:55:13 GMT 2025","6","AuthService","sendVerification","","","","should delete the oldest ticket if there are too many",""
"passed","Sat Mar 08 21:55:13 GMT 2025","Sat Mar 08 21:55:13 GMT 2025","4","AuthService","refreshToken","","","","should return new access and refresh tokens if refresh token is valid",""
"passed","Sat Mar 08 21:55:13 GMT 2025","Sat Mar 08 21:55:13 GMT 2025","63","PreRegisterService","createPreRegister","","","","should throw BadRequestException if email is already registered",""
"passed","Sat Mar 08 21:55:13 GMT 2025","Sat Mar 08 21:55:13 GMT 2025","13","PreRegisterService","validateLogin","","","","should throw UnauthorizedException if ticket is expired",""
"passed","Sat Mar 08 21:55:14 GMT 2025","Sat Mar 08 21:55:14 GMT 2025","11","AuthGuard","","","","","should throw UnauthorizedException if token is not provided",""
"passed","Sat Mar 08 21:55:13 GMT 2025","Sat Mar 08 21:55:13 GMT 2025","4","AuthController","createUser","","","","should call authService.createUser and authService.sendVerification with correct data",""
"passed","Sat Mar 08 21:55:13 GMT 2025","Sat Mar 08 21:55:13 GMT 2025","5","AuthService","verify","","","","should throw NotFoundException if verification code is not found",""
"passed","Sat Mar 08 21:55:15 GMT 2025","Sat Mar 08 21:55:15 GMT 2025","6","MapService","","","","","should be defined",""
"passed","Sat Mar 08 21:55:13 GMT 2025","Sat Mar 08 21:55:13 GMT 2025","8","AuthController","refreshToken","","","","should return new access and refresh tokens",""
"passed","Sat Mar 08 21:55:13 GMT 2025","Sat Mar 08 21:55:13 GMT 2025","17","AuthGuard","","","","","should be defined",""
"passed","Sat Mar 08 21:55:12 GMT 2025","Sat Mar 08 21:55:13 GMT 2025","129","AuthService","login","","","","should throw UnauthorizedException if user is not found",""
"passed","Sat Mar 08 21:55:14 GMT 2025","Sat Mar 08 21:55:14 GMT 2025","8","ItineraryController","","","","","should be defined",""
"passed","Sat Mar 08 21:55:14 GMT 2025","Sat Mar 08 21:55:14 GMT 2025","4","AuthGuard","","","","","should throw UnauthorizedException if token has expired",""
"passed","Sat Mar 08 21:55:14 GMT 2025","Sat Mar 08 21:55:14 GMT 2025","17","PreRegisterController","","","","","should be defined",""
"passed","Sat Mar 08 21:55:13 GMT 2025","Sat Mar 08 21:55:13 GMT 2025","9","PreRegisterService","login","","","","should send login email if user exists",""
