"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 10 17:26:53 GMT 2025","Thu Apr 10 17:26:53 GMT 2025","5","PreRegisterService","sendDiscordWebhook","","","","should send webhook for login-validation",""
"passed","Thu Apr 10 17:26:52 GMT 2025","Thu Apr 10 17:26:52 GMT 2025","8","ItineraryController","acceptItineraryInvitation","","","","should throw ForbiddenException if the user is not authorized to accept the invitation",""
"passed","Thu Apr 10 17:26:50 GMT 2025","Thu Apr 10 17:26:50 GMT 2025","6","NotificationService","create","","","","should create an itinerary reminder",""
"passed","Thu Apr 10 17:26:52 GMT 2025","Thu Apr 10 17:26:52 GMT 2025","46","NotificationController","","","","","should be defined",""
"passed","Thu Apr 10 17:26:52 GMT 2025","Thu Apr 10 17:26:52 GMT 2025","4","AuthService","register","","","","should throw BadRequestException if passwords do not match",""
"passed","Thu Apr 10 17:26:51 GMT 2025","Thu Apr 10 17:26:51 GMT 2025","2","ItineraryService","removeUserFromItinerary","","","","should throw NotFoundException if the user to be removed is not a participant",""
"passed","Thu Apr 10 17:26:52 GMT 2025","Thu Apr 10 17:26:52 GMT 2025","150","AuthService","register","","","","should throw NotFoundException if user is not found",""
"passed","Thu Apr 10 17:26:54 GMT 2025","Thu Apr 10 17:26:54 GMT 2025","8","AppController","root","","","","should return ""Hello World!""",""
"passed","Thu Apr 10 17:26:50 GMT 2025","Thu Apr 10 17:26:50 GMT 2025","3","NotificationService","cancelScheduledEmail","","","","should throw a NotFoundException if job doesnt exist",""
"passed","Thu Apr 10 17:26:51 GMT 2025","Thu Apr 10 17:26:51 GMT 2025","3","ItineraryService","removeItinerary","","","","should remove an itinerary successfully",""
"passed","Thu Apr 10 17:26:51 GMT 2025","Thu Apr 10 17:26:51 GMT 2025","6","ItineraryService","findAllMyItineraries","","","","should return only completed itineraries when finishedBool is true",""
"passed","Thu Apr 10 17:26:51 GMT 2025","Thu Apr 10 17:26:51 GMT 2025","48","ItineraryController","findOne","","","","should return an itinerary when found",""
"passed","Thu Apr 10 17:26:52 GMT 2025","Thu Apr 10 17:26:52 GMT 2025","3","AuthService","sendVerification","","","","should send verification email if user exists",""
"passed","Thu Apr 10 17:26:52 GMT 2025","Thu Apr 10 17:26:53 GMT 2025","45","PreRegisterService","createPreRegister","","","","should create a new user and send confirmation email",""
"passed","Thu Apr 10 17:26:53 GMT 2025","Thu Apr 10 17:26:53 GMT 2025","2","StaticService","getCountryCode","","","","should return country code response",""
"passed","Thu Apr 10 17:26:52 GMT 2025","Thu Apr 10 17:26:52 GMT 2025","12","ItineraryController","inviteToItinerary","","","","should throw NotFoundException if the itinerary does not exist",""
"passed","Thu Apr 10 17:26:50 GMT 2025","Thu Apr 10 17:26:50 GMT 2025","26","NotificationService","onModuleInit","","","","should reschedule itinerary reminders on server restart",""
"passed","Thu Apr 10 17:26:51 GMT 2025","Thu Apr 10 17:26:51 GMT 2025","6","ItineraryService","markAsComplete","","","","should mark itinerary as complete",""
"passed","Thu Apr 10 17:26:53 GMT 2025","Thu Apr 10 17:26:53 GMT 2025","3","AuthGuard","","","","","should allow access if the route is public",""
"passed","Thu Apr 10 17:26:51 GMT 2025","Thu Apr 10 17:26:51 GMT 2025","3","ItineraryService","updateItinerary","","","","should throw BadRequestException when date format is invalid",""
"passed","Thu Apr 10 17:26:53 GMT 2025","Thu Apr 10 17:26:53 GMT 2025","4","AuthController","login","","","","should throw UnauthorizedException if email is not registered",""
"passed","Thu Apr 10 17:26:52 GMT 2025","Thu Apr 10 17:26:52 GMT 2025","7","UmamiService","sendToDiscord","","","","should handle Discord webhook errors gracefully",""
"passed","Thu Apr 10 17:26:51 GMT 2025","Thu Apr 10 17:26:51 GMT 2025","2","ItineraryService","","","","","should throw NotFoundException if itinerary does not exist",""
"passed","Thu Apr 10 17:26:54 GMT 2025","Thu Apr 10 17:26:54 GMT 2025","3","StaticController","getCountries","","","","should return list of countries",""
"passed","Thu Apr 10 17:26:50 GMT 2025","Thu Apr 10 17:26:50 GMT 2025","6","NotificationService","update","","","","should throw NotFoundException if itinerary reminder does not exist",""
"passed","Thu Apr 10 17:26:51 GMT 2025","Thu Apr 10 17:26:51 GMT 2025","5","ItineraryService","findMyCompletedItineraries","","","","should return completed itineraries with locationCount",""
"passed","Thu Apr 10 17:26:54 GMT 2025","Thu Apr 10 17:26:54 GMT 2025","5","ProfileService","","","","","should be defined",""
"passed","Thu Apr 10 17:26:53 GMT 2025","Thu Apr 10 17:26:53 GMT 2025","2","MapService","getPlaceDetails","","","","should return place details with price range when successful",""
"passed","Thu Apr 10 17:26:54 GMT 2025","Thu Apr 10 17:26:54 GMT 2025","3","RefreshStrategy","","","","","should throw UnauthorizedException if user not found",""
"passed","Thu Apr 10 17:26:52 GMT 2025","Thu Apr 10 17:26:52 GMT 2025","6","AuthService","register","","","","should update user and send registration email if verification is successful",""
"passed","Thu Apr 10 17:26:52 GMT 2025","Thu Apr 10 17:26:52 GMT 2025","4","ItineraryController","removeUserFromItinerary","","","","should remove a user from an itinerary and return a formatted response",""
"passed","Thu Apr 10 17:26:52 GMT 2025","Thu Apr 10 17:26:52 GMT 2025","8","UmamiService","getUmamiAnalytics","","","","should handle fetch errors gracefully",""
"passed","Thu Apr 10 17:26:52 GMT 2025","Thu Apr 10 17:26:52 GMT 2025","3","NotificationController","findOne","","","","should pass errors from service to the caller",""
"passed","Thu Apr 10 17:26:52 GMT 2025","Thu Apr 10 17:26:52 GMT 2025","4","ItineraryController","acceptItineraryInvitation","","","","should throw NotFoundException if the invitation does not exist",""
"passed","Thu Apr 10 17:26:51 GMT 2025","Thu Apr 10 17:26:51 GMT 2025","2","ItineraryService","acceptItineraryInvitation","","","","should throw NotFoundException if itineraryId is not found when accepting an invitation",""
"passed","Thu Apr 10 17:26:51 GMT 2025","Thu Apr 10 17:26:51 GMT 2025","2","ItineraryService","findOneItinerary","","","","should allow user to see itinerary if invited",""
"passed","Thu Apr 10 17:26:54 GMT 2025","Thu Apr 10 17:26:54 GMT 2025","20","MapController","","","","","should return place details when placeId is valid",""
"passed","Thu Apr 10 17:26:50 GMT 2025","Thu Apr 10 17:26:50 GMT 2025","3","NotificationService","calculateScheduleDate","","","","should calculate scheduled date correctly",""
