"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu May 15 15:47:41 GMT 2025","Thu May 15 15:47:41 GMT 2025","5","NotificationService","findAll","","","","should return an array of itinerary reminders",""
"passed","Thu May 15 15:47:40 GMT 2025","Thu May 15 15:47:40 GMT 2025","5","ItineraryController","acceptItineraryInvitation","","","","should throw ForbiddenException if the user is not authorized to accept the invitation",""
"passed","Thu May 15 15:47:40 GMT 2025","Thu May 15 15:47:40 GMT 2025","4","AuthService","createUser","","","","should create a new user if user does not exist",""
"passed","Thu May 15 15:47:43 GMT 2025","Thu May 15 15:47:43 GMT 2025","2","StaticService","searchCountries","","","","should return list of countries",""
"passed","Thu May 15 15:47:42 GMT 2025","Thu May 15 15:47:42 GMT 2025","3","PreRegisterService","validateLogin","","","","should throw UnauthorizedException if ticket is expired",""
"passed","Thu May 15 15:47:38 GMT 2025","Thu May 15 15:47:38 GMT 2025","5","ProfileService","sendVerificationCode","","","","should throw BadRequestException if email is already in use",""
"passed","Thu May 15 15:47:42 GMT 2025","Thu May 15 15:47:42 GMT 2025","3","UmamiService","getUmamiAnalytics","","","","should handle fetch errors gracefully",""
"passed","Thu May 15 15:47:38 GMT 2025","Thu May 15 15:47:38 GMT 2025","3","ProfileService","getListItineraries","","","","should correctly calculate totalDestinations when sections is empty",""
"passed","Thu May 15 15:47:43 GMT 2025","Thu May 15 15:47:43 GMT 2025","3","MeilisearchController","syncItineraries","","","","should throw UnauthorizedException when API key is missing",""
"passed","Thu May 15 15:47:40 GMT 2025","Thu May 15 15:47:40 GMT 2025","3","AuthService","register","","","","should throw BadRequestException if passwords do not match",""
"passed","Thu May 15 15:47:40 GMT 2025","Thu May 15 15:47:40 GMT 2025","9","ItineraryService","createViewItinerary","","","","should just create view if less than 10 views",""
"passed","Thu May 15 15:47:42 GMT 2025","Thu May 15 15:47:42 GMT 2025","11","PreRegisterService","sendDiscordWebhook","","","","should handle errors if fetch fails",""
"passed","Thu May 15 15:47:43 GMT 2025","Thu May 15 15:47:43 GMT 2025","3","RefreshStrategy","","","","","should throw UnauthorizedException if user not found",""
"passed","Thu May 15 15:47:40 GMT 2025","Thu May 15 15:47:40 GMT 2025","3","ItineraryService","createItinerary","","","","should throw BadRequestException when start date is after end date",""
"passed","Thu May 15 15:47:40 GMT 2025","Thu May 15 15:47:40 GMT 2025","4","ItineraryService","createContingencyPlan","","","","should create a contingency plan with sections and blocks",""
"passed","Thu May 15 15:47:40 GMT 2025","Thu May 15 15:47:40 GMT 2025","2","ItineraryController","findContingencyById","","","","should return a specific contingency plan",""
"passed","Thu May 15 15:47:40 GMT 2025","Thu May 15 15:47:40 GMT 2025","10","ItineraryController","selectContingency","","","","should select a contingency plan and return a formatted response",""
"passed","Thu May 15 15:47:41 GMT 2025","Thu May 15 15:47:41 GMT 2025","2","ProfileController","changeEmailVerification","","","","should call verifyEmailChange service with correct parameters",""
"passed","Thu May 15 15:47:43 GMT 2025","Thu May 15 15:47:43 GMT 2025","3","PreRegisterController","preRegister","","","","should call service.createPreRegister with correct data",""
"passed","Thu May 15 15:47:40 GMT 2025","Thu May 15 15:47:40 GMT 2025","3","ItineraryService","updateContingencyPlan","","","","should throw ForbiddenException when contingency plan belongs to different itinerary",""
"passed","Thu May 15 15:47:41 GMT 2025","Thu May 15 15:47:41 GMT 2025","2","MeilisearchService","addOrUpdateTour","","","","should handle undefined tour gracefully",""
"passed","Thu May 15 15:47:43 GMT 2025","Thu May 15 15:47:43 GMT 2025","2","TourController","getSearchSuggestions","","","","should return tour title suggestions",""
