"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 23 10:22:52 GMT 2025","Wed Apr 23 10:22:52 GMT 2025","3","ItineraryService","createContingencyPlan","","","","should throw NotFoundException if itinerary does not exist",""
"passed","Wed Apr 23 10:22:54 GMT 2025","Wed Apr 23 10:22:54 GMT 2025","2","MapService","getPriceRangeByPlaceId","","","","should return price range when API call is successful",""
"passed","Wed Apr 23 10:22:51 GMT 2025","Wed Apr 23 10:22:51 GMT 2025","3","AuthService","createUser","","","","should throw ConflictException if user already exists and is confirmed",""
"passed","Wed Apr 23 10:22:53 GMT 2025","Wed Apr 23 10:22:53 GMT 2025","16","MapService","getPlaceDetails","","","","should throw an error if placeId is not provided",""
"passed","Wed Apr 23 10:22:55 GMT 2025","Wed Apr 23 10:22:55 GMT 2025","9","ProfileService","","","","","should be defined",""
"passed","Wed Apr 23 10:22:53 GMT 2025","Wed Apr 23 10:22:54 GMT 2025","3","MapService","getPriceRangeByPlaceId","","","","should throw an error if placeId is not provided",""
"passed","Wed Apr 23 10:22:52 GMT 2025","Wed Apr 23 10:22:52 GMT 2025","4","MeilisearchService","setupIndexes","","","","should not create index if it already exists",""
"passed","Wed Apr 23 10:22:55 GMT 2025","Wed Apr 23 10:22:55 GMT 2025","2","TicketService","update","","","","should return a string with the updated ticket id",""
"passed","Wed Apr 23 10:22:52 GMT 2025","Wed Apr 23 10:22:52 GMT 2025","5","ItineraryController","markAsComplete","","","","should throw ForbiddenException if user is not the owner",""
"passed","Wed Apr 23 10:22:52 GMT 2025","Wed Apr 23 10:22:52 GMT 2025","2","ItineraryService","removeUserFromItinerary","","","","should remove a user from the itinerary successfully",""
"passed","Wed Apr 23 10:22:53 GMT 2025","Wed Apr 23 10:22:53 GMT 2025","23","AuthGuard","","","","","should be defined",""
"passed","Wed Apr 23 10:22:52 GMT 2025","Wed Apr 23 10:22:52 GMT 2025","6","ItineraryService","findMySharedItineraries","","","","should throw an error for invalid page number",""
"passed","Wed Apr 23 10:22:53 GMT 2025","Wed Apr 23 10:22:53 GMT 2025","2","AuthController","register","","","","should call authService.register with correct data",""
"passed","Wed Apr 23 10:22:54 GMT 2025","Wed Apr 23 10:22:54 GMT 2025","9","MeilisearchController","syncItineraries","","","","should throw UnauthorizedException when provided with invalid API key",""
"passed","Wed Apr 23 10:22:52 GMT 2025","Wed Apr 23 10:22:52 GMT 2025","2","ItineraryController","findContingencyById","","","","should return a specific contingency plan",""
"passed","Wed Apr 23 10:22:52 GMT 2025","Wed Apr 23 10:22:52 GMT 2025","3","PreRegisterService","_generateTicket","","","","should throw BadRequestException if last ticket is still valid",""
"passed","Wed Apr 23 10:22:52 GMT 2025","Wed Apr 23 10:22:52 GMT 2025","3","ItineraryService","searchItineraries","","","","should search with custom sort parameters",""
"passed","Wed Apr 23 10:22:54 GMT 2025","Wed Apr 23 10:22:54 GMT 2025","5","GeminiController","","","","","should call geminiService.generateFeedback with valid dto",""
"passed","Wed Apr 23 10:22:52 GMT 2025","Wed Apr 23 10:22:52 GMT 2025","3","ItineraryService","createContingencyPlan","","","","should throw ForbiddenException if user does not own the itinerary",""
"passed","Wed Apr 23 10:22:51 GMT 2025","Wed Apr 23 10:22:51 GMT 2025","2","ItineraryService","_checkUpdateItineraryPermission","","","","should return the itinerary if user is the owner",""
"passed","Wed Apr 23 10:22:52 GMT 2025","Wed Apr 23 10:22:52 GMT 2025","4","ItineraryController","acceptItineraryInvitation","","","","should throw ForbiddenException if the user is not authorized to accept the invitation",""
"passed","Wed Apr 23 10:22:52 GMT 2025","Wed Apr 23 10:22:52 GMT 2025","4","ItineraryController","findAllMyItineraries","","","","should return all itineraries with default parameters",""
"passed","Wed Apr 23 10:22:51 GMT 2025","Wed Apr 23 10:22:51 GMT 2025","36","AuthService","login","","","","should throw UnauthorizedException if user is not found",""
"passed","Wed Apr 23 10:22:51 GMT 2025","Wed Apr 23 10:22:51 GMT 2025","3","ItineraryService","createItinerary","","","","should create an itinerary with default section title, empty blocks, and empty tags",""
"passed","Wed Apr 23 10:22:52 GMT 2025","Wed Apr 23 10:22:52 GMT 2025","13","PreRegisterService","validateLogin","","","","should validate login ticket and return access token",""
"passed","Wed Apr 23 10:22:53 GMT 2025","Wed Apr 23 10:22:53 GMT 2025","3","NotificationController","removeAndCancel","","","","should remove an itinerary reminder and cancel the cron job",""
"passed","Wed Apr 23 10:22:53 GMT 2025","Wed Apr 23 10:22:53 GMT 2025","4","AuthController","refreshToken","","","","should return new access and refresh tokens",""
"passed","Wed Apr 23 10:22:52 GMT 2025","Wed Apr 23 10:22:52 GMT 2025","3","ItineraryService","searchItineraries","","","","should handle search with complex filters and sorting",""
"passed","Wed Apr 23 10:22:50 GMT 2025","Wed Apr 23 10:22:50 GMT 2025","3","NotificationService","findAll","","","","should return an empty array of itinerary reminders if none found",""
"passed","Wed Apr 23 10:22:52 GMT 2025","Wed Apr 23 10:22:52 GMT 2025","10","PreRegisterService","sendDiscordWebhook","","","","should send webhook for login-validation",""
"passed","Wed Apr 23 10:22:53 GMT 2025","Wed Apr 23 10:22:53 GMT 2025","2","GeminiService","createPrompt","","","","should handle missing description",""
"passed","Wed Apr 23 10:22:52 GMT 2025","Wed Apr 23 10:22:52 GMT 2025","3","ItineraryController","findContingencyById","","","","should throw NotFoundException if contingency plan not found",""
"passed","Wed Apr 23 10:22:52 GMT 2025","Wed Apr 23 10:22:52 GMT 2025","4","ItineraryController","findAllTags","","","","should return an empty array if no tags are found",""
"passed","Wed Apr 23 10:22:55 GMT 2025","Wed Apr 23 10:22:55 GMT 2025","6","EmailService","","","","","should be defined",""
"passed","Wed Apr 23 10:22:52 GMT 2025","Wed Apr 23 10:22:52 GMT 2025","3","ItineraryService","inviteToItinerary","","","","should throw NotFoundException if itinerary does not exist",""
"passed","Wed Apr 23 10:22:53 GMT 2025","Wed Apr 23 10:22:53 GMT 2025","6","GeminiService","generateFeedback","","","","should throw InternalServerErrorException on AI error",""
"passed","Wed Apr 23 10:22:53 GMT 2025","Wed Apr 23 10:22:53 GMT 2025","4","MapService","getPlaceDetails","","","","should throw an error when API call fails",""
"passed","Wed Apr 23 10:22:54 GMT 2025","Wed Apr 23 10:22:54 GMT 2025","2","MeilisearchController","syncItineraries","","","","should throw UnauthorizedException when API key is missing",""
"passed","Wed Apr 23 10:22:52 GMT 2025","Wed Apr 23 10:22:52 GMT 2025","2","ItineraryController","findMyItineraries","","","","should return empty data when there are no itineraries",""
"passed","Wed Apr 23 10:22:51 GMT 2025","Wed Apr 23 10:22:51 GMT 2025","2","ItineraryService","findAllMyItineraries","","","","should return only completed itineraries when finishedBool is true",""
"passed","Wed Apr 23 10:22:54 GMT 2025","Wed Apr 23 10:22:54 GMT 2025","3","ProfileController","findOne","","","","should return a single profile",""
"passed","Wed Apr 23 10:22:51 GMT 2025","Wed Apr 23 10:22:51 GMT 2025","5","AuthService","login","","","","should throw UnauthorizedException if password is invalid",""
"passed","Wed Apr 23 10:22:55 GMT 2025","Wed Apr 23 10:22:55 GMT 2025","9","ProfileService","remove","","","","should remove a profile",""
"passed","Wed Apr 23 10:22:52 GMT 2025","Wed Apr 23 10:22:52 GMT 2025","2","ItineraryService","searchItineraries","","","","should search itineraries with filters",""
"passed","Wed Apr 23 10:22:52 GMT 2025","Wed Apr 23 10:22:52 GMT 2025","4","PreRegisterService","sendDiscordWebhook","","","","should handle errors if fetch fails",""
"passed","Wed Apr 23 10:22:52 GMT 2025","Wed Apr 23 10:22:52 GMT 2025","3","ItineraryService","acceptItineraryInvitation","","","","should throw NotFoundException if the pending invitation does not exist",""
"passed","Wed Apr 23 10:22:52 GMT 2025","Wed Apr 23 10:22:52 GMT 2025","8","ItineraryController","markAsComplete","","","","should throw NotFoundException if itinerary does not exist",""
"passed","Wed Apr 23 10:22:52 GMT 2025","Wed Apr 23 10:22:52 GMT 2025","88","ItineraryController","","","","","should be defined",""
"passed","Wed Apr 23 10:22:51 GMT 2025","Wed Apr 23 10:22:51 GMT 2025","3","ItineraryService","createItinerary","","","","should handle non-consecutive block positions when creating routes",""
"passed","Wed Apr 23 10:22:51 GMT 2025","Wed Apr 23 10:22:51 GMT 2025","2","ItineraryService","updateItinerary","","","","should throw BadRequestException when block start time is after end time",""
"passed","Wed Apr 23 10:22:52 GMT 2025","Wed Apr 23 10:22:52 GMT 2025","8","MeilisearchService","setupIndexes","","","","should create index if it does not exist",""
"passed","Wed Apr 23 10:22:54 GMT 2025","Wed Apr 23 10:22:54 GMT 2025","2","PaymentService","update","","","","should return a string indicating a payment was updated",""
"passed","Wed Apr 23 10:22:54 GMT 2025","Wed Apr 23 10:22:54 GMT 2025","5","TicketController","update","","","","should update a ticket",""
"passed","Wed Apr 23 10:22:51 GMT 2025","Wed Apr 23 10:22:51 GMT 2025","3","ItineraryService","updateItinerary","","","","should throw BadRequestException when no sections are provided",""
"passed","Wed Apr 23 10:22:52 GMT 2025","Wed Apr 23 10:22:52 GMT 2025","3","ItineraryController","findMyItineraries","","","","should throw an error for invalid page number",""
"passed","Wed Apr 23 10:22:53 GMT 2025","Wed Apr 23 10:22:53 GMT 2025","19","UmamiService","","","","","should be defined",""
"passed","Wed Apr 23 10:22:52 GMT 2025","Wed Apr 23 10:22:52 GMT 2025","3","MeilisearchService","deleteItinerary","","","","should delete an itinerary from the index",""
"passed","Wed Apr 23 10:22:54 GMT 2025","Wed Apr 23 10:22:54 GMT 2025","12","PaymentController","","","","","should be defined",""
"passed","Wed Apr 23 10:22:52 GMT 2025","Wed Apr 23 10:22:52 GMT 2025","2","ItineraryController","findContingencies","","","","should throw NotFoundException if itinerary not found",""
"passed","Wed Apr 23 10:22:50 GMT 2025","Wed Apr 23 10:22:50 GMT 2025","2","NotificationService","_formatReminderOption","","","","should return ""tidak diketahui"" for unknown option",""
"passed","Wed Apr 23 10:22:52 GMT 2025","Wed Apr 23 10:22:52 GMT 2025","3","ItineraryService","updateContingencyPlan","","","","should update a contingency plan successfully",""
"passed","Wed Apr 23 10:22:52 GMT 2025","Wed Apr 23 10:22:52 GMT 2025","2","ItineraryService","removeUserFromItinerary","","","","should throw NotFoundException if the user to be removed is not a participant",""
"passed","Wed Apr 23 10:22:51 GMT 2025","Wed Apr 23 10:22:51 GMT 2025","5","AuthService","clearExpiredRefreshTokens","","","","should delete expired refresh tokens",""
"passed","Wed Apr 23 10:22:53 GMT 2025","Wed Apr 23 10:22:53 GMT 2025","4","AuthController","login","","","","should throw UnauthorizedException if password is incorrect",""
"passed","Wed Apr 23 10:22:51 GMT 2025","Wed Apr 23 10:22:51 GMT 2025","7","AuthService","createUser","","","","should create a new user if user does not exist",""
"passed","Wed Apr 23 10:22:54 GMT 2025","Wed Apr 23 10:22:54 GMT 2025","2","TicketController","remove","","","","should remove a ticket",""
"passed","Wed Apr 23 10:22:54 GMT 2025","Wed Apr 23 10:22:54 GMT 2025","3","MeilisearchController","syncItineraries","","","","should sync itineraries when provided with valid API key",""
"passed","Wed Apr 23 10:22:53 GMT 2025","Wed Apr 23 10:22:53 GMT 2025","3","UmamiService","getUmamiAnalytics","","","","should return 401 Unauthorized if UMAMI_API_KEY is not set",""
"passed","Wed Apr 23 10:22:52 GMT 2025","Wed Apr 23 10:22:52 GMT 2025","2","ItineraryService","removeUserFromItinerary","","","","should throw NotFoundException if the itinerary does not exist",""
"passed","Wed Apr 23 10:22:52 GMT 2025","Wed Apr 23 10:22:52 GMT 2025","3","ItineraryService","removeItinerary","","","","should remove an itinerary successfully",""
"passed","Wed Apr 23 10:22:52 GMT 2025","Wed Apr 23 10:22:52 GMT 2025","6","ItineraryController","inviteToItinerary","","","","should throw NotFoundException if the itinerary does not exist",""
"passed","Wed Apr 23 10:22:52 GMT 2025","Wed Apr 23 10:22:52 GMT 2025","4","ItineraryController","updateItinerary","","","","should pass errors from service to the caller",""
"passed","Wed Apr 23 10:22:51 GMT 2025","Wed Apr 23 10:22:51 GMT 2025","4","AuthService","sendVerification","","","","should throw BadRequestException if requesting too fast",""
"passed","Wed Apr 23 10:22:53 GMT 2025","Wed Apr 23 10:22:53 GMT 2025","2","AuthGuard","","","","","should throw UnauthorizedException if user not found",""
"passed","Wed Apr 23 10:22:50 GMT 2025","Wed Apr 23 10:22:50 GMT 2025","3","NotificationService","calculateScheduleDate","","","","should throw BadRequestException on improper reminder option",""
"passed","Wed Apr 23 10:22:51 GMT 2025","Wed Apr 23 10:22:51 GMT 2025","4","ItineraryService","createItinerary","","","","should throw BadRequestException when start date is after end date",""
"passed","Wed Apr 23 10:22:51 GMT 2025","Wed Apr 23 10:22:51 GMT 2025","6","AuthService","createUser","","","","should throw BadRequestException if user was created recently and is not confirmed",""
"passed","Wed Apr 23 10:22:55 GMT 2025","Wed Apr 23 10:22:55 GMT 2025","1","TicketService","findOne","","","","should return a string with the ticket id",""
"passed","Wed Apr 23 10:22:50 GMT 2025","Wed Apr 23 10:22:50 GMT 2025","2","NotificationService","_formatReminderOption","","","","should return ""1 hari"" for ONE_DAY_BEFORE option",""
"passed","Wed Apr 23 10:22:53 GMT 2025","Wed Apr 23 10:22:53 GMT 2025","3","NotificationController","createAndSchedule","","","","should create an itinerary reminder and schedule the cron job",""
"passed","Wed Apr 23 10:22:52 GMT 2025","Wed Apr 23 10:22:52 GMT 2025","3","ItineraryController","findAllMyItineraries","","","","should handle service errors correctly",""
"passed","Wed Apr 23 10:22:54 GMT 2025","Wed Apr 23 10:22:54 GMT 2025","3","StaticService","searchCities","","","","should return list of cities based on country",""
"passed","Wed Apr 23 10:22:50 GMT 2025","Wed Apr 23 10:22:50 GMT 2025","2","NotificationService","cancelScheduledEmail","","","","should cancel an existing scheduled email job",""
"passed","Wed Apr 23 10:22:55 GMT 2025","Wed Apr 23 10:22:55 GMT 2025","2","EmailService","","","","","should handle errors if sending email fails",""
"passed","Wed Apr 23 10:22:51 GMT 2025","Wed Apr 23 10:22:51 GMT 2025","3","ItineraryService","createItinerary","","","","should throw BadRequestException when no sections are provided",""
"passed","Wed Apr 23 10:22:51 GMT 2025","Wed Apr 23 10:22:51 GMT 2025","2","ItineraryService","_checkUpdateItineraryPermission","","","","should throw NotFoundException when itinerary does not exist",""
"passed","Wed Apr 23 10:22:51 GMT 2025","Wed Apr 23 10:22:51 GMT 2025","3","ItineraryService","updateItinerary","","","","should throw BadRequestException when duplicate section numbers are provided",""
"passed","Wed Apr 23 10:22:52 GMT 2025","Wed Apr 23 10:22:52 GMT 2025","6","ItineraryController","inviteToItinerary","","","","should throw ForbiddenException if the user is not authorized to invite",""
"passed","Wed Apr 23 10:22:50 GMT 2025","Wed Apr 23 10:22:50 GMT 2025","13","NotificationService","create","","","","should create an itinerary reminder",""
"passed","Wed Apr 23 10:22:52 GMT 2025","Wed Apr 23 10:22:52 GMT 2025","3","ItineraryService","_checkContingencyCount","","","","should throw BadRequestException when there are more than 2 contingency plans",""
"passed","Wed Apr 23 10:22:52 GMT 2025","Wed Apr 23 10:22:52 GMT 2025","2","MeilisearchService","addOrUpdateItinerary","","","","should delete an unpublished itinerary from the index",""
"passed","Wed Apr 23 10:22:52 GMT 2025","Wed Apr 23 10:22:52 GMT 2025","3","ItineraryController","removeUserFromItinerary","","","","should throw NotFoundException if the user to be removed does not exist",""
"passed","Wed Apr 23 10:22:50 GMT 2025","Wed Apr 23 10:22:50 GMT 2025","3","NotificationService","calculateScheduleDate","","","","should calculate scheduled date correctly",""
"passed","Wed Apr 23 10:22:52 GMT 2025","Wed Apr 23 10:22:52 GMT 2025","3","ItineraryController","findMySharedItineraries","","","","should return shared itineraries successfully",""
"passed","Wed Apr 23 10:22:55 GMT 2025","Wed Apr 23 10:22:55 GMT 2025","0","PaginationDto","","","","","should allow page to be optional",""
"passed","Wed Apr 23 10:22:55 GMT 2025","Wed Apr 23 10:22:55 GMT 2025","2","TicketService","create","","","","should return a string indicating a new ticket was added",""
"passed","Wed Apr 23 10:22:52 GMT 2025","Wed Apr 23 10:22:52 GMT 2025","2","ItineraryController","findMyItineraries","","","","should return itineraries successfully",""
"passed","Wed Apr 23 10:22:52 GMT 2025","Wed Apr 23 10:22:52 GMT 2025","3","ItineraryController","findContingencies","","","","should throw ForbiddenException if user is not authorized",""
"passed","Wed Apr 23 10:22:54 GMT 2025","Wed Apr 23 10:22:54 GMT 2025","3","ProfileController","update","","","","should update a profile",""
"passed","Wed Apr 23 10:22:52 GMT 2025","Wed Apr 23 10:22:52 GMT 2025","3","ItineraryService","acceptItineraryInvitation","","","","should throw NotFoundException if itineraryId is not found when accepting an invitation",""
"passed","Wed Apr 23 10:22:52 GMT 2025","Wed Apr 23 10:22:52 GMT 2025","2","ItineraryController","searchItineraries","","","","should search itineraries with tags filter",""
